C oyuncusu 5, 0 konumundan 8, 0 konumuna ilerlemistir

A oyuncusu 8, 3 konumundan 11, 3 konumuna ilerlemistir
B oyuncusu 8, 1 konumundan 11, 1 konumuna ilerlemistir

A oyuncusu 11, 3 konumundan 14, 3 konumuna ilerlemistir
B oyuncusu 11, 1 konumundan 14, 1 konumuna ilerlemistir

A oyuncusu 14, 3 konumundan 16, 2 konumuna ilerlemistir
B oyuncusu 14, 1 konumundan 16, 0 konumuna ilerlemistir

A oyuncusu 16, 2 konumundan 19, 2 konumuna ilerlemistir
